,年,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖北,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,西藏,新疆,云南,浙江,重庆
1,1978,66.11 ,56.84 ,69.17 ,71.30 ,61.57 ,71.05 ,80.83 ,66.01 ,59.03 ,63.86 ,65.30 ,69.62 ,70.32 ,68.46 ,59.51 ,68.35 ,61.12 ,69.31 ,68.09 ,72.11 ,60.61 ,65.40 ,66.82 ,50.23 ,72.71 ,57.13 ,86.42 ,63.29 ,73.23 ,57.85 ,72.77 
2,1979,64.90 ,63.90 ,68.36 ,72.08 ,59.90 ,70.24 ,70.93 ,65.53 ,59.92 ,60.74 ,57.00 ,67.50 ,68.40 ,67.50 ,59.90 ,66.10 ,60.50 ,68.33 ,67.13 ,65.53 ,61.30 ,61.30 ,59.80 ,55.50 ,72.30 ,64.40 ,85.42 ,62.52 ,72.65 ,57.10 ,72.90 
3,1980,59.80 ,54.10 ,67.56 ,64.80 ,60.40 ,63.50 ,69.30 ,65.05 ,56.10 ,57.92 ,57.70 ,64.40 ,66.20 ,65.30 ,58.00 ,62.40 ,56.30 ,64.90 ,66.17 ,65.05 ,60.11 ,59.90 ,59.80 ,51.70 ,70.00 ,56.70 ,84.42 ,60.80 ,70.30 ,56.80 ,68.10 
4,1981,61.00 ,52.30 ,66.76 ,68.76 ,59.30 ,67.60 ,64.71 ,64.57 ,52.20 ,53.80 ,58.20 ,62.40 ,66.20 ,61.90 ,56.90 ,60.80 ,53.80 ,62.50 ,65.21 ,64.57 ,55.80 ,59.50 ,62.04 ,50.80 ,65.90 ,50.60 ,83.43 ,58.70 ,66.66 ,55.20 ,65.60 
5,1982,63.80 ,52.40 ,65.95 ,67.81 ,58.40 ,66.20 ,65.10 ,64.09 ,54.30 ,56.90 ,57.70 ,62.00 ,65.50 ,62.90 ,55.50 ,63.90 ,54.70 ,62.70 ,64.25 ,64.09 ,50.40 ,62.54 ,62.80 ,49.80 ,67.60 ,50.60 ,82.43 ,60.70 ,66.90 ,56.30 ,65.60 
6,1983,59.40 ,50.40 ,65.15 ,63.70 ,60.30 ,66.20 ,68.04 ,63.61 ,53.52 ,57.91 ,55.00 ,61.80 ,64.10 ,63.40 ,55.30 ,62.50 ,53.00 ,60.10 ,60.60 ,63.61 ,50.74 ,57.90 ,60.11 ,47.00 ,66.50 ,44.80 ,81.43 ,58.10 ,64.62 ,56.20 ,66.90 
7,1984,59.60 ,51.10 ,64.34 ,63.35 ,59.30 ,64.60 ,68.94 ,63.14 ,52.24 ,55.80 ,53.40 ,61.20 ,65.10 ,63.30 ,53.00 ,62.80 ,54.90 ,62.50 ,58.50 ,62.71 ,51.94 ,58.32 ,60.40 ,46.40 ,67.10 ,49.20 ,80.43 ,60.20 ,61.49 ,54.60 ,67.90 
8,1985,58.50 ,47.10 ,62.40 ,60.37 ,60.40 ,62.20 ,69.90 ,59.90 ,50.03 ,56.05 ,57.70 ,59.10 ,63.00 ,56.50 ,52.10 ,61.10 ,51.60 ,63.00 ,58.40 ,64.11 ,52.24 ,54.31 ,57.41 ,43.80 ,64.50 ,47.40 ,79.43 ,57.90 ,66.63 ,52.10 ,63.90 
9,1986,60.20 ,45.30 ,60.20 ,59.21 ,58.80 ,61.90 ,70.20 ,57.60 ,48.51 ,54.70 ,56.40 ,58.20 ,58.70 ,55.20 ,49.50 ,58.00 ,51.00 ,60.50 ,56.40 ,61.60 ,50.00 ,54.64 ,55.80 ,45.30 ,62.60 ,49.00 ,78.43 ,56.80 ,67.28 ,50.30 ,63.40 
10,1987,54.80 ,48.30 ,60.00 ,57.12 ,57.30 ,62.10 ,70.00 ,61.00 ,48.44 ,52.93 ,55.20 ,57.50 ,56.50 ,54.20 ,48.40 ,58.00 ,50.70 ,59.80 ,56.80 ,57.84 ,49.80 ,52.50 ,55.40 ,46.10 ,62.50 ,49.90 ,77.44 ,55.50 ,66.72 ,48.60 ,62.20 
