,年,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,江苏省,江西省,辽宁省,内蒙古自治区,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,西藏自治区,新疆维吾尔自治区,云南省,浙江省,重庆市
1,1978,83.36 ,99.08 ,40.69 ,114.48 ,92.32 ,49.47 ,41.43 ,3.92 ,168.69 ,130.68 ,107.70 ,91.64 ,93.54 ,93.24 ,126.42 ,45.31 ,278.00 ,37.78 ,16.51 ,6.52 ,155.86 ,106.63 ,66.10 ,199.32 ,121.75 ,51.68 ,1.09 ,21.17 ,52.51 ,50.59 ,0.00 
2,1979,94.96 ,104.29 ,44.40 ,120.22 ,101.80 ,52.30 ,44.90 ,4.10 ,190.51 ,145.50 ,118.00 ,114.52 ,106.72 ,101.62 ,147.00 ,51.11 ,296.20 ,44.08 ,17.81 ,7.20 ,170.96 ,114.10 ,71.29 ,209.96 ,138.06 ,52.56 ,1.34 ,22.77 ,55.30 ,56.93 ,0.00 
3,1980,96.34 ,106.51 ,49.47 ,119.48 ,108.94 ,53.64 ,45.17 ,4.22 ,196.36 ,159.45 ,129.10 ,131.00 ,118.67 ,111.83 ,156.32 ,57.21 ,299.00 ,49.05 ,19.43 ,8.22 ,185.97 ,120.24 ,79.14 ,206.41 ,156.56 ,63.20 ,1.53 ,23.58 ,56.20 ,81.46 ,0.00 
4,1981,97.14 ,99.31 ,52.46 ,121.41 ,117.51 ,58.82 ,43.55 ,4.85 ,199.32 ,171.17 ,135.80 ,137.16 ,122.36 ,126.35 ,169.90 ,59.86 ,280.00 ,54.50 ,18.27 ,7.71 ,194.49 ,124.57 ,75.13 ,204.69 ,155.53 ,72.96 ,1.75 ,25.21 ,59.67 ,95.75 ,0.00 
5,1982,104.32 ,100.34 ,57.18 ,133.75 ,130.37 ,60.23 ,57.86 ,5.93 ,204.60 ,177.97 ,149.10 ,153.65 ,131.04 ,115.22 ,180.16 ,62.75 ,297.10 ,58.40 ,21.00 ,7.84 ,203.47 ,136.92 ,74.37 ,219.90 ,163.02 ,75.01 ,1.72 ,28.05 ,62.03 ,92.55 ,0.00 
6,1983,116.14 ,102.88 ,61.55 ,138.22 ,146.32 ,65.62 ,69.51 ,6.81 ,218.30 ,187.88 ,162.60 ,181.34 ,136.47 ,122.28 ,184.89 ,64.39 ,311.20 ,60.82 ,22.00 ,7.70 ,218.25 ,151.27 ,80.06 ,224.77 ,176.90 ,77.34 ,1.94 ,31.62 ,61.64 ,112.50 ,0.00 
7,1984,116.87 ,103.88 ,67.53 ,146.88 ,147.52 ,70.60 ,76.46 ,6.68 ,241.14 ,198.72 ,176.60 ,197.37 ,138.47 ,131.68 ,210.13 ,71.83 ,323.90 ,69.55 ,22.25 ,8.18 ,236.44 ,167.53 ,90.87 ,245.38 ,187.98 ,79.57 ,2.11 ,34.17 ,70.27 ,116.03 ,0.00 
8,1985,134.88 ,103.72 ,77.20 ,147.34 ,167.13 ,81.82 ,78.07 ,8.03 ,261.97 ,209.34 ,187.00 ,220.54 ,147.51 ,133.76 ,234.48 ,83.75 ,353.00 ,80.46 ,24.14 ,11.38 ,262.05 ,184.59 ,108.77 ,256.25 ,208.11 ,80.65 ,2.27 ,38.11 ,75.45 ,132.03 ,0.00 
9,1986,152.69 ,104.32 ,86.21 ,146.31 ,180.50 ,90.97 ,82.52 ,9.29 ,292.44 ,231.63 ,202.00 ,233.65 ,151.95 ,162.96 ,263.75 ,94.30 ,347.70 ,111.24 ,31.40 ,14.64 ,299.95 ,220.02 ,125.21 ,267.63 ,195.04 ,78.38 ,2.47 ,42.85 ,84.52 ,148.18 ,0.00 
10,1987,168.84 ,105.75 ,98.54 ,133.60 ,221.83 ,102.62 ,84.90 ,8.31 ,312.59 ,259.33 ,223.50 ,268.67 ,161.40 ,165.34 ,301.16 ,102.77 ,384.40 ,126.54 ,42.64 ,22.35 ,331.81 ,263.42 ,143.70 ,276.34 ,208.14 ,81.09 ,2.63 ,48.45 ,94.33 ,173.01 ,0.00 
11,1988,177.89 ,111.08 ,114.14 ,135.08 ,267.97 ,102.43 ,90.12 ,8.70 ,346.34 ,286.57 ,246.80 ,299.21 ,173.13 ,165.83 ,345.32 ,115.66 ,413.60 ,138.47 ,50.11 ,45.86 ,379.61 ,277.74 ,138.21 ,280.59 ,231.35 ,91.07 ,2.57 ,54.72 ,102.26 ,190.26 ,0.00 
12,1989,172.85 ,119.13 ,129.56 ,163.14 ,298.41 ,109.29 ,96.53 ,12.41 ,365.58 ,302.82 ,279.80 ,333.72 ,183.34 ,157.51 ,366.38 ,119.71 ,448.70 ,153.72 ,54.19 ,58.20 ,420.00 ,303.13 ,148.54 ,278.33 ,254.31 ,96.60 ,2.69 ,62.99 ,114.12 ,200.35 ,0.00 
13,1990,194.21 ,125.36 ,136.65 ,171.39 ,343.98 ,125.62 ,103.87 ,13.96 ,368.97 ,319.14 ,295.20 ,340.39 ,201.40 ,174.46 ,404.47 ,121.41 ,435.80 ,169.54 ,55.96 ,70.63 ,446.00 ,314.16 ,149.74 ,284.10 ,268.89 ,94.85 ,2.75 ,69.79 ,125.78 ,208.66 ,0.00 
14,1991,215.52 ,131.80 ,151.76 ,188.05 ,394.93 ,135.55 ,116.03 ,16.47 ,410.66 ,356.49 ,316.30 ,349.49 ,221.25 ,199.80 ,441.20 ,129.96 ,448.30 ,189.04 ,63.11 ,59.81 ,496.40 ,341.38 ,164.31 ,304.82 ,296.03 ,90.27 ,3.16 ,78.04 ,140.85 ,242.32 ,0.00 
15,1992,236.19 ,142.30 ,176.55 ,200.32 ,459.00 ,153.06 ,129.35 ,19.79 ,457.08 ,405.17 ,346.80 ,367.20 ,244.78 ,204.04 ,481.15 ,143.63 ,489.10 ,222.29 ,76.62 ,49.83 ,566.24 ,384.17 ,189.10 ,347.64 ,327.45 ,98.62 ,3.45 ,86.80 ,155.75 ,288.14 ,0.00 
16,1993,266.64 ,141.09 ,195.27 ,227.91 ,572.77 ,174.50 ,146.56 ,24.69 ,508.18 ,440.65 ,372.30 ,402.49 ,270.23 ,244.93 ,536.84 ,153.13 ,505.30 ,235.23 ,87.49 ,68.04 ,610.73 ,417.82 ,215.98 ,371.14 ,317.83 ,126.65 ,3.56 ,95.78 ,172.07 ,308.52 ,0.00 
17,1994,298.29 ,129.87 ,228.93 ,248.60 ,770.58 ,186.69 ,197.21 ,28.98 ,549.87 ,485.46 ,381.70 ,426.41 ,292.35 ,259.97 ,631.90 ,170.57 ,504.00 ,261.27 ,97.30 ,73.13 ,677.66 ,456.93 ,222.41 ,399.40 ,400.82 ,122.47 ,3.93 ,106.17 ,203.43 ,331.92 ,0.00 
18,1995,310.32 ,132.21 ,261.55 ,237.75 ,821.06 ,217.29 ,231.55 ,31.53 ,607.17 ,554.67 ,388.01 ,452.74 ,332.94 ,284.60 ,700.41 ,176.48 ,540.08 ,278.54 ,107.77 ,60.42 ,739.24 ,505.97 ,236.77 ,403.42 ,575.97 ,133.65 ,4.46 ,120.43 ,228.42 ,401.48 ,133.72 
