"","年","安徽","北京","福建","甘肃","广东","广西","贵州","海南","河北","河南","黑龙江","湖北","湖南","吉林","江苏","江西","辽宁","内蒙古","宁夏","青海","山东","山西","陕西","上海","四川","天津","西藏","新疆","云南","浙江","重庆"
"1",1978,10.3460113814134,55.8325032633463,12.9318874440096,13.0839867444465,15.1426183086103,9.9089393264876,10.9597116972444,14.6138071959413,10.9387547881498,8.02578979291263,37.8127004040259,15.0146887472661,10.8244060615599,31.5719664077681,12.0860018077667,15.1891983305777,35.4827048649373,25.5621853649146,16.6240325627141,26.4810909389616,6.5226499332241,28.3859008927193,14.9707755704487,59.5357604437402,10.8766131759385,52.271067365272,14.0242473721902,28.9658420083114,10.0691000607889,12.0308558277119,8.23537525013717
"2",1979,11.034769935457,55.2000891762345,14.2737134887236,13.7697421572614,16.898356191032,11.1239193083573,11.5097455501485,15.0731075328521,11.537708129285,8.83293921268605,36.6838135512986,15.5055927542426,11.6129464584869,32.0974091366841,14.0015782640792,14.8845765535866,33.8377970138849,25.9207257803219,17.7074751469215,24.81587011451,9.13993362831858,35.0864859412586,15.1763448521553,60.71510590563,11.4317814760199,51.4687187254875,15.0199791997373,27.7721601630612,10.7375271149675,12.1234175295926,8.9241298063719
"3",1980,11.3631718781933,56.4414464226474,14.5624319837317,13.9400447240712,17.4018252873651,11.2492933860938,11.5354003176467,15.6172515519519,11.8808049535604,9.29306794783802,37.215181971409,15.964520914942,11.8707808254197,32.7181435744334,14.3565631951824,15.5369702158889,35.4670337549112,26.4162003730349,18.1472760355346,25.6089148315203,9.47094298245614,35.888512473052,15.5775344401272,61.2662666154973,11.5894224856041,52.4255250964735,15.5170552677029,29.0701661419532,10.8590155668999,12.5485420401507,9.4406945887512
"4",1981,11.9628807746621,56.8537859007833,14.8957722241777,14.0300813845678,17.7069597069597,11.3755881538887,11.533971515293,16.2294701927707,12.1194824961948,9.63904285521157,37.9032507023122,16.2623013068655,12.242049980877,33.4259715809763,14.5721302310723,16.3629869972639,36.47448229037,26.9220663198276,18.5194845844854,25.5450733752621,9.9526707234618,38.0874316939891,16.020942408377,61.49427264284,11.9061477908975,52.7080702861953,14.0621639062164,29.4562756609493,10.8539158495718,13.1594649116236,9.9871602331961
"5",1982,12.1610845295056,57.0634751015174,15.0624803188916,14.0899700234951,17.938552107724,11.4277958740499,11.5160283944477,16.4986523854528,12.4719940253921,9.93483175954249,38.24327207339,16.4662189746965,12.241476709977,33.8279588944011,14.9939069854523,16.5251541804172,37.2929484145764,27.1425628347754,18.5680846733157,25.0515542656381,10.3282626100881,38.814121907061,16.2190082644628,61.9486493125852,12.1267327817654,52.9990192536004,13.1941875825627,29.9468044684246,10.913465931589,13.6719227789783,10.565257522723
"6",1983,12.4011075949367,57.341997694162,15.2628987044473,14.550164013121,18.2199579916056,11.5456737208679,11.5989880956484,16.8549581510695,12.7675276752768,10.1284067085954,38.5692679975802,16.7890532355885,12.3510054579149,34.4613350958361,15.3054854205141,16.5950802769185,38.0121793282081,27.3073408467865,18.9800776845007,25.3738186820185,10.7218402961396,39.6311844077961,16.5131354486523,62.4668135107746,12.3635322820265,53.4293500407498,12.8197162679921,30.4402610065252,11.0393899363516,13.8792864171987,11.1768174250802
"7",1984,12.8747795414462,57.7384647217049,15.7798590123392,14.7200229036271,19.6777959290534,11.6920651602733,11.7243378754029,17.6409699479052,13.2677237105887,10.7535220369652,39.1654157910537,18.9472828020945,13.3874691619975,35.132414094988,15.6976584033198,16.9759593277982,40.5997531418312,27.5048918769756,19.2248138225969,26.7448519708175,12.2561215136834,42.0703427719821,17.1611598111935,63.1443085044572,12.9875067897882,54.9439360418343,12.8482814724425,31.5635974049164,11.1888734023309,14.2150565101212,11.8237768918462
"8",1985,14.0418929402638,57.8809018299464,16.484095683904,15.0495155609896,21.1806372102645,12.1611154144074,12.0914614861819,18.7461297718867,13.6445565969719,11.4820950681789,39.8004170390229,21.2620402032854,14.168633470224,36.4229765013055,16.3130805925182,17.8010143028093,40.7601323856546,28.5083585495312,20.0762143649607,28.5090087878639,13.2163742690058,43.01,17.9880079946702,63.8100091231127,13.8274500289785,55.3789761431412,12.9035492279928,32.2281323008654,11.59123489658,15.7389392390236,12.5081849932027
"9",1986,14.5102549357869,56.8384347152266,16.5493034590623,15.7299114314349,21.8539170242008,12.3922959959453,12.1149028705889,19.2080973531694,13.9328238848409,11.4715090795241,40.1447562776957,21.6566326520505,14.163417156361,37.0146417310932,18.2242141022983,17.8018099648746,40.4965110037574,28.8626451707747,21.4620696156293,29.0226063829787,12.5900205761317,44.03,17.784352399737,65.1254128358475,13.5957613919248,54.8547799305496,12.7166773667835,32.5048423000202,11.7298850574713,16.0410017518126,13.2322094078142
"10",1987,14.8288254208436,56.3367079115111,16.6522645794353,15.9902255958936,22.4603276664695,12.7241035856574,12.2170944287862,19.7681602393185,14.2206654991243,11.8188512518409,56.4135514018692,21.9605606735582,14.5807861847851,37.8145865434001,18.5141776937618,18.1212506641779,41.091756234447,29.5054200542005,22.3756779115728,29.0722131339098,13.2462923057422,45.11,18.0699481865285,65.8105977543197,13.7314138601377,54.8646724506172,14.0851166145708,32.8656858632042,11.941143180532,16.1615941026742,13.9981432883665
