,年,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖北,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,西藏,新疆,云南,浙江,重庆
1,1978,65.15 ,62.03 ,69.10 ,59.96 ,65.66 ,63.03 ,63.77 ,71.37 ,59.09 ,60.78 ,60.34 ,58.63 ,60.98 ,63.72 ,61.35 ,64.81 ,63.78 ,54.93 ,57.03 ,66.04 ,59.88 ,58.04 ,57.15 ,63.14 ,60.65 ,62.87 ,64.20 ,55.98 ,61.43 ,60.78 ,60.48 
2,1979,64.33 ,57.90 ,68.15 ,59.12 ,67.04 ,62.26 ,64.60 ,70.49 ,58.23 ,58.50 ,59.49 ,57.95 ,60.15 ,62.72 ,60.53 ,63.98 ,62.87 ,54.18 ,58.90 ,62.87 ,57.90 ,57.17 ,56.41 ,56.40 ,59.60 ,62.02 ,63.65 ,55.29 ,62.63 ,59.91 ,61.90 
3,1980,63.52 ,55.30 ,67.20 ,53.10 ,65.50 ,57.30 ,60.52 ,69.61 ,60.10 ,57.51 ,56.70 ,57.00 ,57.40 ,59.20 ,55.10 ,63.14 ,61.96 ,53.42 ,54.80 ,61.96 ,57.70 ,54.60 ,55.68 ,56.00 ,58.50 ,54.90 ,63.09 ,57.30 ,62.17 ,59.05 ,52.80 
4,1981,60.50 ,57.70 ,62.10 ,54.96 ,65.80 ,58.70 ,60.42 ,68.73 ,53.34 ,56.50 ,57.40 ,57.10 ,55.90 ,60.71 ,55.90 ,59.60 ,61.05 ,52.67 ,53.40 ,61.05 ,54.97 ,52.70 ,53.01 ,56.80 ,59.50 ,55.80 ,62.54 ,54.30 ,60.06 ,55.60 ,58.10 
5,1982,60.30 ,59.30 ,60.70 ,56.41 ,64.21 ,61.50 ,60.40 ,67.86 ,56.30 ,56.00 ,58.60 ,57.60 ,58.90 ,59.71 ,58.20 ,60.40 ,60.13 ,51.91 ,50.70 ,60.13 ,57.79 ,53.70 ,54.80 ,58.90 ,59.80 ,58.50 ,61.98 ,55.70 ,59.94 ,57.30 ,59.40 
6,1983,62.40 ,58.80 ,63.40 ,56.78 ,64.53 ,59.20 ,60.70 ,66.98 ,56.93 ,57.30 ,58.20 ,58.70 ,58.70 ,58.70 ,58.60 ,61.60 ,59.22 ,51.16 ,54.60 ,59.22 ,59.95 ,54.90 ,55.00 ,58.50 ,59.00 ,61.10 ,61.43 ,57.00 ,59.14 ,59.50 ,61.30 
7,1984,59.40 ,56.80 ,62.40 ,56.22 ,63.60 ,57.20 ,58.20 ,66.10 ,55.40 ,56.61 ,56.90 ,56.40 ,57.40 ,57.70 ,56.30 ,59.30 ,58.31 ,50.40 ,55.10 ,51.50 ,59.89 ,53.30 ,54.50 ,56.50 ,57.30 ,60.90 ,60.88 ,54.10 ,58.99 ,56.20 ,60.00 
8,1985,57.10 ,50.60 ,54.00 ,50.59 ,58.33 ,56.60 ,52.51 ,63.70 ,50.00 ,49.90 ,52.80 ,50.40 ,53.50 ,54.70 ,52.50 ,56.00 ,54.70 ,46.10 ,47.10 ,55.12 ,50.79 ,49.20 ,48.91 ,52.10 ,51.40 ,54.40 ,60.32 ,46.80 ,51.22 ,51.30 ,51.80 
9,1986,54.60 ,50.90 ,55.90 ,50.96 ,58.63 ,58.00 ,52.90 ,62.90 ,50.24 ,51.02 ,51.70 ,51.60 ,55.20 ,55.69 ,51.20 ,54.50 ,53.60 ,48.89 ,46.80 ,57.10 ,50.37 ,47.80 ,49.63 ,52.70 ,52.70 ,54.50 ,59.77 ,44.40 ,52.08 ,50.80 ,50.40 
10,1987,55.10 ,52.70 ,58.80 ,51.97 ,56.70 ,59.10 ,54.70 ,59.90 ,51.70 ,53.40 ,52.60 ,53.00 ,57.00 ,54.69 ,52.00 ,56.00 ,53.60 ,48.13 ,50.10 ,60.30 ,53.30 ,49.10 ,51.00 ,54.40 ,52.90 ,54.00 ,59.21 ,45.60 ,54.54 ,51.80 ,51.00 
11,1988,54.10 ,51.10 ,62.60 ,48.87 ,56.70 ,54.60 ,52.80 ,64.00 ,46.50 ,52.00 ,50.30 ,50.90 ,50.80 ,53.69 ,50.80 ,55.30 ,50.70 ,47.38 ,46.70 ,55.03 ,51.04 ,47.20 ,46.70 ,52.70 ,51.80 ,52.10 ,58.66 ,47.50 ,48.43 ,51.00 ,49.90 
12,1989,57.50 ,55.30 ,63.70 ,55.05 ,56.50 ,59.30 ,58.10 ,62.90 ,52.00 ,55.31 ,51.80 ,53.70 ,54.90 ,52.68 ,53.90 ,58.30 ,54.30 ,45.20 ,52.00 ,62.50 ,51.99 ,48.30 ,50.53 ,55.80 ,55.70 ,58.60 ,58.10 ,52.30 ,54.47 ,54.70 ,55.50 
13,1990,57.80 ,54.20 ,63.50 ,51.50 ,57.20 ,58.60 ,56.60 ,60.70 ,51.20 ,54.82 ,51.10 ,53.50 ,55.70 ,52.40 ,55.50 ,59.10 ,55.30 ,48.30 ,52.70 ,63.40 ,51.74 ,49.00 ,51.90 ,56.50 ,53.80 ,57.90 ,66.30 ,47.80 ,53.39 ,55.10 ,52.70 
14,1991,59.20 ,54.70 ,60.50 ,52.41 ,53.10 ,55.30 ,56.10 ,62.10 ,51.34 ,53.70 ,50.60 ,52.00 ,53.40 ,53.40 ,55.70 ,56.70 ,55.90 ,47.60 ,48.40 ,64.12 ,52.18 ,49.20 ,50.95 ,56.90 ,51.90 ,58.60 ,63.20 ,48.20 ,53.45 ,55.00 ,51.20 
15,1992,57.50 ,52.80 ,58.30 ,52.51 ,51.50 ,55.90 ,56.70 ,60.90 ,49.56 ,53.40 ,49.90 ,50.60 ,50.90 ,50.20 ,53.90 ,56.70 ,54.40 ,46.90 ,46.70 ,61.00 ,51.06 ,50.50 ,51.60 ,55.90 ,54.10 ,57.60 ,57.40 ,49.10 ,50.56 ,51.60 ,52.40 
16,1993,54.40 ,47.80 ,57.90 ,50.71 ,48.90 ,53.70 ,54.44 ,61.80 ,46.31 ,49.64 ,49.20 ,44.90 ,47.80 ,48.90 ,49.40 ,53.90 ,50.50 ,43.70 ,43.50 ,58.23 ,46.13 ,48.70 ,47.93 ,53.10 ,52.10 ,54.60 ,54.20 ,49.50 ,48.80 ,49.40 ,51.30 
17,1994,53.90 ,46.40 ,58.70 ,50.57 ,46.41 ,50.40 ,53.50 ,60.50 ,47.30 ,49.84 ,50.80 ,47.80 ,47.70 ,49.30 ,50.10 ,53.90 ,51.50 ,45.60 ,45.50 ,59.74 ,46.01 ,48.40 ,47.54 ,53.50 ,51.70 ,52.10 ,50.90 ,46.20 ,50.71 ,47.40 ,51.40 
18,1995,53.70 ,48.50 ,61.10 ,51.69 ,48.02 ,51.00 ,53.91 ,59.30 ,46.22 ,50.10 ,48.20 ,48.90 ,48.80 ,51.20 ,51.90 ,54.40 ,51.90 ,48.40 ,46.40 ,51.43 ,45.32 ,48.00 ,47.21 ,53.40 ,51.34 ,52.10 ,57.60 ,44.80 ,52.50 ,47.00 ,48.70 
19,1996,53.70 ,46.60 ,59.90 ,50.84 ,47.31 ,50.40 ,53.84 ,58.60 ,44.80 ,47.83 ,46.20 ,46.60 ,48.50 ,47.40 ,51.00 ,53.70 ,50.10 ,45.10 ,45.30 ,49.70 ,43.79 ,46.10 ,45.52 ,50.70 ,51.60 ,51.30 ,57.10 ,44.30 ,49.20 ,46.90 ,50.20 
20,1997,52.40 ,43.70 ,52.80 ,48.85 ,46.00 ,47.40 ,51.20 ,57.00 ,42.00 ,44.60 ,45.90 ,46.00 ,45.70 ,47.00 ,47.70 ,50.60 ,48.10 ,43.50 ,43.40 ,48.30 ,41.14 ,43.30 ,43.00 ,51.70 ,49.10 ,46.70 ,55.70 ,43.30 ,46.50 ,43.90 ,46.70 
21,1998,49.50 ,41.10 ,51.80 ,46.23 ,44.12 ,46.30 ,48.42 ,55.00 ,40.02 ,42.60 ,43.50 ,43.90 ,43.60 ,46.00 ,45.10 ,49.30 ,44.60 ,40.80 ,41.80 ,45.41 ,39.81 ,43.20 ,41.10 ,50.60 ,44.92 ,43.60 ,52.90 ,44.30 ,44.16 ,42.50 ,45.60 
22,1999,47.30 ,39.50 ,51.40 ,41.24 ,40.64 ,44.30 ,42.50 ,51.22 ,37.70 ,40.82 ,40.50 ,41.10 ,40.50 ,42.70 ,44.10 ,44.91 ,43.40 ,37.60 ,38.80 ,42.40 ,37.26 ,40.30 ,37.30 ,45.20 ,43.90 ,42.04 ,49.90 ,38.64 ,44.41 ,40.32 ,42.60 
23,2000,45.71 ,36.30 ,44.70 ,37.20 ,38.62 ,39.90 ,43.20 ,49.31 ,34.91 ,36.20 ,38.40 ,38.30 ,37.24 ,39.40 ,41.10 ,43.04 ,40.70 ,34.50 ,35.73 ,40.90 ,34.96 ,34.91 ,35.82 ,44.50 ,41.50 ,40.10 ,46.30 ,36.40 ,40.34 ,39.20 ,41.60 
