,年,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖北,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,西藏,新疆,云南,浙江,重庆
1,1978,181900,203800,151400,143400,270300,207800,123000,16700,324400,276700,315400,299800,244600,163500,283800,162700,313000,186900,57800,68000,319000,211100,183000,260100,146112.2111,145100,45700,57200,182800,174300,18285.8975
2,1979,203500,200600,160300,141800,280300,206000,133000,18200,342200,298600,282900,280700,251700,178800,320600,176300,346000,210400,63000,68200,316200,207400,195600,270600,172311.6561,152100,50000,51300,213500,177400,22561.21442
3,1980,166600,148700,150500,123000,249300,174400,126600,21000,283600,267400,257600,265300,237100,173200,289500,159900,341000,183700,57500,58800,300700,196100,182800,191800,203208.935,146700,46600,41300,173200,173400,27836.11777
4,1981,154000,148500,142700,112000,271800,160400,132800,24200,233900,258400,258700,236000,213900,158700,237900,140300,267000,163500,46100,55200,255300,174700,163900,190600,239646.4187,144800,43500,18700,157300,171200,34344.31489
5,1982,168700,168000,164200,127900,307500,174400,151100,25900,259400,298100,280100,254700,232600,173000,246300,155400,307000,203100,57100,62400,294500,208400,173000,206800,282617.5236,213800,50100,23900,188000,188800,42374.15486
6,1983,203800,196100,175500,155300,342700,188400,163800,31800,282700,300600,307100,283200,253100,194100,322900,174700,342000,228300,69500,73900,324100,240100,188100,223900,333293.7963,204900,58800,29600,242300,219400,52281.40396
7,1984,235600,271500,205200,211500,426500,230600,222800,45300,358600,367900,361200,317200,300400,233400,391500,219400,293000,308600,87900,92800,389800,299800,227500,303200,393056.8537,187900,102400,41400,307700,288000,64505.00804
8,1985,338800,329900,306400,240000,608400,297500,245500,59000,416600,495100,446300,436000,400900,345000,505300,297300,569000,341800,98500,100900,513000,355500,275000,460700,497200,269700,102900,53300,367000,374000,79586.54029
9,1986,461800,442700,376200,300100,829100,422200,304300,66300,538200,692000,612700,580400,542900,501200,661600,366300,755000,439000,120200,122200,679400,411700,355900,590800,694200,348500,89700,51900,473100,509600,98194.19588
10,1987,445300,496700,399900,317700,898700,477000,314300,67200,533300,652600,660000,609800,559300,532300,680000,377900,804000,455600,118400,122600,752200,419500,378100,538500,690100,311600,91300,51000,538600,512400,121152.3967
11,1988,478100,529300,492900,363800,1152000,532700,361400,92500,675200,762200,740500,686600,648900,612600,814500,423500,952000,510100,138200,142800,940700,434900,445800,658800,779900,349900,104800,50500,648400,631400,149478.318
12,1989,552500,595000,604800,412600,1411600,577400,458900,138100,773000,876700,853600,790700,742300,671400,922500,487100,1143000,558100,146600,156700,1136700,508500,507900,733100,956500,392600,119200,49400,818900,747700,184426.9544
13,1990,615700,665200,684500,459400,1506900,650000,478700,174200,872800,895300,927100,848200,800800,716700,1009700,507600,1222000,609000,149600,171300,1238500,549000,539100,755600,1069200,402000,129200,49500,907600,802300,227546.7236
14,1991,813900,679800,781300,513200,1824800,716100,534200,193900,911400,978800,1100700,995200,885800,791200,1281800,603700,1515000,666200,160500,182300,1320600,607000,582800,860500,1109600,474700,150000,58100,1108200,884300,280748.0695
15,1992,741100,717400,845000,534800,2196100,784800,606300,253600,1011900,1164900,1024600,989700,991000,800200,1258600,683800,1485000,720700,158600,186200,1457000,642900,652700,949900,1228800,465200,166100,62400,1215900,953100,346388.1057
16,1993,720100,809900,1138800,631700,3312700,1074900,673900,385200,1422600,1477300,1249400,1145800,1320300,1031100,1638700,819000,1811000,882800,194000,225400,1883600,757100,754000,1292600,1612500,512700,216000,62900,2006200,1250400,427375.0483
17,1994,932700,985300,1377300,723800,4168300,1249300,742300,400100,1608400,1696200,1424000,1372000,1514900,1045900,2001700,920300,2236000,928200,193800,253600,2187700,892300,855200,1969200,1813100,723200,303000,51100,2037300,1530300,527297.0663
18,1995,1358776,1544028,1715798,813908,5256255,1405892,853300,423860,1911822,2072753,1746089,1624296,1739446,1209012,2534881,1103381,2738331,1021780,229963,288021,2758656,1128924,1026917,2600023,2777214,933313,348749,964021,2350993,1802909,650581.2569
19,1996,1787143,1874472,2003058,909538,6012263,1570121,995772,451649,2318975,2552947,2088833,1974425,2177430,1455266,3109426,1318475,3147796,1263825,295196,327145,3589836,1331823,1217909,3331773,3267262,1132066,368458,1148890,2703945,2137083,802689.7907
20,1997,2072408,2363940,2243565,1043042,6826619,1708345,1118288,478408,2704603,2843717,2203829,2236993,2308151,1677548,3643605,1501570,3406269,1429118,336300,364713,4077878,1435129,1377240,4088139,2750975,1227843,381952,1233534,3132012,2401592,1010110
21,1998,2420656,2806827,2548663,1253382,8256147,1983609,1330941,549066,3015508,3236255,2594246,2801215,2736416,1900966,4249003,1752605,3902863,1703133,451239,440914,4878175,1644083,1661955,4700472,3209282,1379265,453225,1459933,3280023,2868113,1257608
22,1999,2886031,3551932,2792361,1477868,9658990,2249775,1707163,567831,3507969,3843157,3390342,3364552,3131240,2346231,4846506,2078293,4579016,1997964,495346,557191,5500034,1853388,2065173,5335364,3634981,1574122,532544,1662788,3780468,3440424,1502365
23,2000,3234728,4429969,3241839,1882322,10803189,2584866,2015698,641193,4155374,4455295,3818736,3687701,3478324,2606694,5912810,2234722,5180841,2472681,608380,682614,6130774,2250554,2717597,6085621,4520041,1870521,599693,1909529,4141074,4312958,1876433
24,2001,4037988,5591063,3731855,2354643,13213314,3516498,2751975,789426,5141754,5085795,4782724,4844034,4316953,3264343,7296421,2837144,6354295,3192570,935787,1012951,7537781,2895027,3500506,7081382,5940981,2346673,1045690,2633232,4964302,5972991,2375486
25,2002,4568579,6283496,3975582,2740111,15210792,4198575,3166702,922574,5765891,6291811,5318682,5113895,5330229,3626170,8602526,3413843,6909202,3935743,1145650,1187280,8606484,3342741,4049114,8623847,7016201,2652103,1378433,3611729,5268906,7499039,3058591
26,2003,5074398,7348043,4523010,3000070,16956324,4436023,3323547,1053984,6467439,7165978,5649080,5404356,5737453,4092265,10476812,3820981,7843764,4472566,1057793,1220438,10106395,4156866,4182008,10884386,7322993,3120771,1459054,3684676,5873475,8967740,3415775
27,2004,6015280,8982756,5166787,3569366,18529500,5074721,4184181,1272006,7855591,8799580,6975516,6462888,7195435,5077758,13120404,4540598,9313979,5641117,1230177,1373363,11893716,5190569,5163052,13825254,8952534,3750212,1338335,4210446,6636354,10629355,3957233
