"","年","安徽","北京","福建","甘肃","广东","广西","贵州","海南","河北","河南","黑龙江","湖北","湖南","吉林","江苏","江西","辽宁","内蒙古","宁夏","青海","山东","山西","陕西","上海","四川","天津","西藏","新疆","云南","浙江","重庆"
"1",1978,78.4,134.12,61.52,163.09,167.53,119.25,100.83,16.39,277.31,205.41,162.91,154.08,152.64,91.94,182.88,153.19,171.46,83.74,42.77,56.36,296.4,157.15,122.11,185.06,270.15,105.75,12.41,68.27,119.68,107.62,106.78
"2",1979,85.5095282770146,150.501493057736,71.3151977568884,173.624319789861,190.676315946044,126.900204500526,107.803527412366,16.7767518140248,306.595065156358,228.542160146025,174.400186526054,168.073092553795,168.40174004332,101.795860883809,213.188888632854,172.156662801736,197.167613764628,92.9629657161354,47.2263863404138,61.4226227998608,327.743466270299,162.457459191756,137.115119343532,203.328879079235,317.068294863416,118.35543440025,13.5430920290872,76.9334577196116,134.197582307542,121.463793779225,102.50147408911
"3",1980,93.7616043697096,171.056168025514,82.5031343843129,174.65957351785,221.365400610334,138.132740384171,112.893824952654,17.1638147899071,324.6079638229,261.476593525733,194.094844272662,179.36409720316,184.32159440405,112.244695063551,247.430295285741,188.342189654659,218.342016206992,100.018313904256,49.4584964822907,63.0475292386782,359.409187288841,170.980038830514,153.540616779508,224.302842148515,361.742422300095,129.936737526923,14.125325790158,85.6943166482669,146.665215703629,141.374915140735,102.087026587723
"4",1981,99.0176270401928,183.276369796545,92.4824614908902,172.081995429738,261.581678094776,146.703036824173,118.025019702684,18.3183615047055,333.527718779614,289.725046368523,219.786786775793,187.510048121936,194.338568507814,120.661455727822,280.884569167828,196.384027523553,236.845317705033,106.293167970216,49.5032861986814,63.42970397132,387.340383896126,176.434353260622,166.012604549431,252.806572982214,397.180066311794,139.206643146093,14.4988768507681,94.9374820519093,154.366767424611,159.182096281933,101.574564824687
"5",1982,119.913481245673,196.648144499501,104.721244460582,171.197939593397,321.099341846951,147.01906750528,124.644027682902,22.163774666317,358.378283939459,326.215890822876,257.589538859328,208.529460833809,210.050930521829,133.944274940806,357.555857099788,212.419099978719,268.265934462789,117.957053250881,51.783901739029,67.4195889064702,429.186523466576,188.573276842106,178.093424125935,293.035974477727,441.3320650204,154.070460828185,15.8174609497692,108.136851287869,160.948762572788,181.500757183645,104.027715466364
"6",1983,147.29480287127,225.902377024854,119.851931437775,173.714207720613,373.358753816825,152.28660636561,134.128920148984,25.1461126095229,387.73447457899,379.795248885098,285.113417299598,234.391912956555,231.924350543627,147.031513974962,442.220709099184,234.503613707337,303.124088632696,137.606518603991,54.7852243338946,68.9299692701613,475.292886659271,207.521909928855,188.246463161468,332.831710377701,496.42613625779,171.854484157929,16.8770577425877,123.472581584337,165.271367251373,202.982846477643,108.969655613926
"7",1984,190.060819151932,271.231460786426,136.592370779229,181.650905283087,439.790745549175,164.531420364693,147.973081716764,31.1361815270239,412.643410726041,431.990714024242,328.022019754573,272.776840321705,248.96422396523,165.804451382246,541.892844635476,258.72032157317,351.76978537913,163.826865832562,58.6531953837467,70.7235555795752,540.656409530569,242.064695834846,212.999010255271,380.755685766771,567.131303273506,196.927611264464,18.1003762863943,140.584839478912,173.595294925389,238.65879028323,119.624177282927
"8",1985,246.520964797978,340.143198296314,156.871566963516,199.56890055847,517.887528178042,180.264974349854,169.602499966875,39.9322793002756,456.520485925724,500.294131330297,380.060260288022,320.46448876917,275.335782065773,196.888216660511,676.531407474382,288.606258065044,419.046359643555,195.194729496899,66.8059215596813,76.2325370423997,624.465262263188,292.238161472551,255.499320508729,437.74436882478,659.113984771772,228.793716351176,20.1563666047164,159.611058038379,182.158648104417,302.238460542219,136.146600996206
"9",1986,301.604900055762,434.741795752315,181.680761552563,222.35400180059,596.075187055016,201.018712984475,184.152264931361,48.6434477437701,502.599661660988,575.666433049363,424.786678079447,363.436180197413,311.763102912067,223.808403296764,855.741106270873,333.961638241173,491.157365944465,218.443766249352,75.5007983904964,80.6619367749248,717.761618076619,335.700545427286,314.098059406694,502.416306370955,748.368893575587,260.648733369158,21.8537220901351,177.379466752262,191.064738188529,370.373033038108,153.625189072828
"10",1987,356.410882141858,560.49776146838,209.404885418723,247.868691845036,682.145544680574,222.602017565366,200.106906899577,57.0354726083659,555.717650702123,637.993340213002,471.427574813771,415.954545256343,353.696134172712,255.819340008525,1050.33403748879,364.373806921346,580.277075941293,259.699466368519,84.0555648747459,87.3128638925519,839.650053223474,374.131642763907,361.700872089546,580.091642181206,852.542175086204,289.808588840925,23.7786349653399,192.374910071137,201.392433307141,448.402061320604,169.97184016759
