,年,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,江苏省,江西省,辽宁省,内蒙古自治区,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,西藏自治区,新疆维吾尔自治区,云南省,浙江省,重庆市
1,1978,113.96,108.84,66.37,64.73,185.85,75.85,46.62,16.4,183.06,162.92,174.81,151,146.99,81.98,249.24,87,229.2,58.04,13,15.54,225.45,87.99,81.07,272.81,184.61,82.65,6.65,39.07,69.05,123.72,67.32
2,1979,127.31,120.11,74.11,67.51,209.34,84.59,55.28,17.45,203.22,190.09,187.2,188.46,178.01,91.12,298.55,104.15,245,64.14,14.36,15.19,251.6,106.43,94.52,286.43,205.76,93.01,7.3,45.63,76.83,157.75,75.87
3,1980,140.88,139.07,87.06,73.9,249.65,97.33,60.26,19.33,219.24,229.16,221.04,199.38,191.72,98.59,319.8,111.15,281,68.4,15.96,17.79,292.13,108.76,94.91,311.89,229.31,103.53,8.67,53.24,84.27,179.92,84.77
4,1981,170.51,139.15,105.62,70.89,290.36,113.46,67.89,22.23,222.54,249.69,228.3,219.75,209.68,111.16,350.02,121.26,288.6,77.91,17.42,17.49,346.57,121.71,102.09,324.76,242.32,107.96,10.4,59.41,94.13,204.86,90.67
5,1982,187.02,154.94,117.81,76.88,339.92,129.15,79.39,28.86,251.45,263.3,248.42,241.55,232.52,121.67,390.17,133.96,315.1,93.22,18.22,19.95,395.38,139.22,111.95,337.07,275.23,114.11,10.21,65.24,110.12,234.01,100.6
6,1983,215.68,183.13,127.76,91.5,368.75,134.6,87.38,31.12,283.21,327.95,276.9,262.58,257.43,150.14,437.65,144.13,364,105.88,20.79,22.45,459.83,155.06,123.39,351.81,311,123.42,10.29,78.55,120.07,257.09,111.46
7,1984,265.74,216.61,157.06,103.17,458.74,150.27,108.27,37.18,332.22,370.04,318.3,328.22,287.29,174.39,518.85,169.11,438.2,128.2,24.78,26.42,581.56,197.42,149.35,390.85,358.06,147.53,13.68,89.75,139.58,323.25,131.27
8,1985,331.24,257.12,200.48,123.39,577.38,180.97,123.92,43.26,396.75,451.74,355,396.26,349.95,200.44,651.82,207.89,518.6,163.83,30.27,33.01,680.46,218.99,180.87,466.75,421.15,175.78,17.76,112.24,164.96,429.16,151.96
9,1986,382.76,284.86,222.54,140.74,667.53,205.46,139.57,48.03,436.65,502.91,400.8,442.04,397.68,227.15,744.94,230.82,605.3,181.58,34.54,38.44,742.05,235.11,208.31,490.83,458.23,194.74,16.93,129.04,182.28,502.47,170.34
10,1987,442.35,326.82,279.24,159.52,846.69,241.56,165.5,57.28,521.92,609.6,454.6,517.77,469.44,297.49,922.33,262.9,719.1,212.27,39.63,43.38,892.29,257.23,244.96,545.46,530.86,220.12,17.71,148.51,229.03,606.99,190.35
