"","年","安徽省","北京市","福建省","甘肃省","广东省","广西壮族自治区","贵州省","海南省","河北省","河南省","黑龙江省","湖北省","湖南省","吉林省","江苏省","江西省","辽宁省","内蒙古自治区","宁夏回族自治区","青海省","山东省","山西省","陕西省","上海市","四川省","天津市","西藏自治区","新疆维吾尔自治区","云南省","浙江省","重庆市"
"1",1978,100,100.6,100.3,100.5,100.4,100,100.3,102,99.8,100.1,100.2,100.5,100,100.2,100.2,100.1,100.3,101.04,100,100.2,100.4,100,100.5,100.5,99.6,100,103.0248875,101.4,100.1,100.1,100.260645238095
"2",1979,102.1,101.8,103,100.8,103,102.3,102.2,102,101.4,100.4,101.8,101.4,100.2,101.2,101.3,101.3,101.1,101.93,101.3,102.2,101.6,100.5,101.6,101,105.4,101.1,103.0248875,103.5,100.7,102.1,100.260645238095
"3",1980,103.4,106.7,105.6,104.9,108.5,109.2,107.9,107.2,105.3,104.9,105.6,104.6,110.8,106.3,105.8,104.3,105.9,105.5,105.8,104.1,103,103.5,104.7,106.5,108.1,105.5,103.0248875,104.2,105.7,108,100.260645238095
"4",1981,101.7,101.4,103.6,101.6,109.3,101.7,102.3,107.5,102.1,101.6,102.1,104.4,101.7,101.7,101.4,104.6,101.6,101.8,102,101.4,101.7,102.3,103,101.5,101.8,101.5,103.0248875,101.6,101.2,101.5,100.260645238095
"5",1982,101,102,103.6,101.2,102.3,103.1,102,104.5,101.5,101.5,102.8,100.7,101.7,103,100.9,102.9,101.2,101.7,102.5,101.8,100.6,102.2,101,100.3,102.3,100.5,103.0248875,100.2,101.9,100.9,100.260645238095
"6",1983,101.1,100.6,101.3,100.6,100.7,102.8,100.7,100.9,101.4,101.7,102.2,101.4,102.4,102.6,100.1,101.4,101.5,101,101.1,100.7,98.7,101.2,101.5,100.1,100.7,100.5,103.0248875,101.5,101,102,100.260645238095
"7",1984,102,102.1,101.6,103,101.2,104.2,102.5,99.3,103.4,100.9,104.4,103,103.1,104.2,102.5,102.5,103.9,104.4,103.2,103.4,101.1,103,103.9,102.2,102.3,101.8,103.0248875,103.1,102.7,103.4,100.260645238095
"8",1985,106.4,118.6,111.4,108.5,113.6,111.2,107.7,112.8,106.8,105.4,111.7,107.5,111.1,109.7,109.5,108.3,110,108.5,107.8,110.7,108.5,107.6,106.5,116.4,106.8,113.9,103.0248875,108.1,108,114,100.260645238095
"9",1986,105.2,106.7,106.3,106,104.8,105.1,105.3,103.8,105.2,105,105.9,104.2,104.8,105.4,107.1,105.8,106,105,104.9,106.1,104.5,105.3,105.2,106.7,103.9,107.2,103.0248875,106.7,105,106,100.260645238095
"10",1987,109.7,108.7,109.7,107.4,111.7,108,107.3,109.4,108.3,106.3,109.6,107.6,110.6,107.5,109.3,106.9,109,108.1,108,107.3,108.3,107.5,108.6,108.8,107.5,106.9,103.0248875,107.1,106.6,109.5,100.260645238095
"11",1988,121.8,121.9,127.4,118.6,130.2,121,120.2,127.8,118.1,119.7,117.8,119.5,125.9,119.9,122.3,121.8,119.3,116.3,117.5,118.3,119,121,119,121.3,120,117.7,103.0248875,114.6,119.6,122.1,100.260645238095
"12",1989,117.1,118.5,118.6,116.4,121,121.3,117.4,126.8,118.4,118.7,114,117,118.1,116.9,116.8,118.6,118.4,115.9,117.8,117.7,116.9,119.1,118.8,116.7,118.3,115.1,103.0248875,116.7,119.3,117.8,100.260645238095
"13",1990,101.9,104.1,98.6,103.4,95.6,100.1,101.4,100.6,99.9,100.1,104.9,102.9,99.4,103.9,102.3,101.3,102.7,102.9,104.2,104.5,101.6,102.1,101.6,104.8,103.1,102.7,103.0248875,104.1,102.1,101.6,100.260645238095
"14",1991,105.7,108.5,103.3,104.6,100.6,102.5,103.3,103.1,102.8,102,106.5,104.3,104.1,105.1,104.8,102.4,104.1,104.5,105.9,106.3,104.9,103.9,105.8,109.5,102.3,108,103.0248875,108,103.7,103,100.260645238095
