,年,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,江苏省,江西省,辽宁省,内蒙古自治区,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,西藏自治区,新疆维吾尔自治区,云南省,浙江省,重庆市
1,1978,46.71,44.17,30.56,20.72,79.86,33.59,21.23,8.46,83.68,71.79,61.8,59.84,53.73,38.56,84.79,33.93,71.2,31.01,5.04,6.68,79.73,42.22,33.37,54.1,61.58,25.2,2.45,21.89,28.38,46.86,4.674295039
2,1979,53.59,52.2,35.92,22.66,92.69,38.79,23.57,9.29,93.44,80.44,70.3,67.98,63.9,45.31,99.16,38.6,83.1,34.18,5.74,7.3,92.22,45.53,36.6,68.28,77.41,29.08,2.71,24.78,32.6,58.97,5.681561637
3,1980,62.5,61.32,45.47,26.48,117.67,45.72,26.73,9.93,103.93,96.04,82.4,81.91,75.2,52.83,12.56,45.48,101.8,39.48,6.74,8.29,114.01,51.73,43.38,80.43,87.91,34.64,2.87,29.36,37.96,74.87,6.90588471
4,1981,68.05,68.82,51.47,29.16,142.38,49.92,30.48,11.02,111.82,106.86,93.6,89.9,85.48,59.26,134.79,53.74,115.5,43.37,7.4,9.19,131.47,56.51,47.52,88.73,119.13,38.04,3.32,34.07,42.04,85.99,8.394037884
5,1982,75.67,73.31,56.77,31.19,164.23,54.58,34.55,13.36,121.11,113.82,102.8,99.83,93.45,67.02,150.01,57.64,121.5,47.4,8.41,9.78,141.49,61.34,50.65,89.8,126.31,39.76,3.71,36.41,47.54,93.77,10.20287406
6,1983,83.23,83.57,62.59,34.47,183.62,59.78,38.43,14.67,138.05,123.05,111.7,112.44,105.17,75.54,169.12,61.99,134.3,52.15,9.34,10.8,162.14,69.42,54.9,100.68,138.58,44.63,3.94,41.33,55.19,104.24,12.40149742
7,1984,97.6,101.66,74.5,40.29,226.13,68.64,43.64,18.16,173.96,146.85,130.3,137.34,121.9,91.4,205.05,70.33,158.1,61.8,10.86,12.85,189.08,84.59,63,123.72,162.33,52.17,9.24,46.14,65.58,125.82,15.07390342
8,1985,119.95,127.9,96.04,51.81,289.23,88.6,52.25,21.58,204.45,180.59,156.7,181.07,154.28,112,262.57,85.71,195.5,75.64,13.15,16.39,227.03,102.12,80.01,173.39,174,64.12,9.5,57.38,84.45,172.27,18.32218777
9,1986,142.51,146.46,109.07,61.9,327.02,100.24,57.25,23.16,230.55,198.32,180,200.2,176.98,127.81,304.58,96.5,244.3,84.88,15.12,19.02,261.64,112.1,91.4,196.84,205.9,81.39,9.1,63.9,91.91,203.49,22.27044683
10,1987,165.59,176.59,126.06,72.11,405.19,117.85,66.39,25.79,271.32,225.28,214.2,234.06,209.52,145.5,360.74,108.77,285.9,96.3,17.17,21.38,300.69,128.43,106.16,225.25,231.84,95.57,9.86,72.39,102.55,242.58,27.06951857
