,年,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖北,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,西藏,新疆,云南,浙江,重庆
1,1978,170.086,218.5132,185.4149,198.8723,193.8716,184.2057,176.5123,171.402439,192.505,177.75,192.1058,176.8675,177.8963,189.0947,192.2685,178.8046,200.6545,189.2316,201.9231,203.1531,180.4746,200.1363,187.0976,214.5743,175.4401,218.2214,170.9774,181.5204,174.7285,180.6177,180.5405
2,1979,168.7613,220.4729,182.1886,201.1109,192.5575,178.0944,175.1992,171.6905444,189.7844,176.3113,191.827,170.8851,172.3443,190.3643,183.028,171.5218,198.8244,190.1935,201.0447,198.7492,176.8204,198.4967,183.9291,214.8167,175.4811,216.2456,176.4384,181.5032,176.012,173.7305,179.2674
3,1980,172.6434,222.3916,185.6189,201.5289,192.4495,177.8073,177.6634,169.5809622,189.5913,177.4221,190.685,182.5808,175.1774,191.7537,188.7146,176.1853,198.7544,200.1168,200.8771,199.7751,177.1198,203.6686,189.7061,217.8236,175.9714,217.2995,167.82,178.9069,174.4986,181.4529,178.7779
4,1981,165.4859,224.01,187.9473,200.4655,193.5906,178.2214,175.1655,167.251462,189.813,176.6993,191.3712,178.5666,173.884,187.4146,186.6379,173.5939,200.901,189.2057,197.0149,205.7175,178.8615,195.8919,185.3462,218.2473,176.4444,219.1089,162.6921,177.4955,174.3653,186.3612,177.3135
5,1982,171.8853,222.2475,188.4645,198.6733,190.6567,175.3233,171.2934,166.4587665,189.0395,178.7999,192.0095,176.4521,171.5638,187.2688,183.1738,172.753,201.9041,188.5969,199.3413,204.01,180.0675,195.9129,188.879,218.1355,175.1737,217.7461,165.5238,178.0349,176.0716,185.3897,178.0018
6,1983,176.53,224.4525,189.9577,192.6557,192.9492,177.9569,175.6468,167.062982,187.3309,177.0118,188.588,179.1607,172.1398,180.8712,183.0959,177.0832,199.9725,192.5387,198.3163,207.4388,180.4145,198.0201,190.4693,219.741,177.1607,219.2433,167.9302,179.3382,178.4542,191.5166,178.6919
7,1984,177.5681,225.9589,193.1427,197.6059,195.7841,183.0241,175.3394,171.8665949,189.0012,179.2428,190.9834,181.4151,174.2804,185.0051,182.7426,178.7239,202.0995,195.7099,198.5875,205.9425,182.4662,200.9268,189.3739,220.7136,178.819,219.5215,186.2571,182.986,178.8936,191.638,182.4789
8,1985,179.308,226.3846,195.8398,198.7195,200.6614,184.1412,178.3248,177.716135,192.8946,185.5693,198.8167,183.0995,179.1371,195.8841,187.8709,182.5483,207.8481,199.8777,201.1561,207.0887,187.5776,206.5802,195.6486,221.866,182.7237,219.8887,182.7703,187.491,180.2435,195.9199,187.2137
9,1986,182.5922,228.3753,198.1441,199.5952,205.2299,183.0576,182.582,179.2004997,195.9853,188.6103,200.6984,183.454,180.6628,197.4246,189.2741,185.5645,210.1769,205.9203,202.3742,205.463,189.6745,213.2109,199.4384,223.5173,185.861,219.7134,193.5618,193.3431,182.889,199.801,188.0829
10,1987,184.607,229.2547,199.814,200.3636,206.1486,183.3955,183.3656,180.9881285,198.2047,189.9787,202.5517,185.565,183.3442,198.9884,192.944,185.2415,211.5563,208.2113,207.5195,207.5841,192.5024,215.9817,200.4409,225.2777,188.4112,219.4623,196.8379,190.472,189.7874,201.1038,192.9708
