,年,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖北,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,西藏,新疆,云南,浙江,重庆
1,1978,1873.4,444.1,924.41,694,2275.95,1455.8,1053.67,221.48,2109.39,2807,928.6730736,1910.37,2280.05,645.38,2777.72,1254.3,1254.1,627.1714286,135.64,142.4080303,2969.8,965.23,1077.7,545.231,3087.02,256.6969444,93.09,491.25,1313.4,1794.96,1288.417868
2,1979,1920.6,470.5,954.24,713,2304.95,1493,1060.62,226.23,2141.5,2873,960.9403463,1946.17,2328.12,671.29,2762.34,1307,1321.5,652.8,139.52,144.71,3016,981.1,1104.5,562.136,3143.54,269.2711111,98.23,497.27,1342.7,1829.9,1312.32956
3,1980,2002.1,484.2,963.72,796,2367.78,1550,1109.63,231.49,2182.8,2929,993.207619,1986.94,2399.95,715.3,2821.03,1356.3,1441.7,698.4,146.52,150.31,3117.5,1002.64,1158,579.041,3259.78,281.8452778,101.14,506.35,1404.2,1856.42,1336.241253
4,1981,2078,511.7206,1001.74,842,2423.79,1605,1152.95,242.46,2264.23,3039,1000.6,2045.09,2449.46,754.52,2910.58,1409.8,1505.1,731.2,149.7,157.62,3192.4,1031.92,1202.2,595.946,3347.61,294.4194444,100.48,523.9,1479.8,1954.53,1360.152945
5,1982,2160.2,535.2,1027.96,870,2521.38,1668,1207.06,247.06,2346.57,3146,1032.7,2107.74,2541.05,849.62,2993.03,1434,1571.6,762.4,155.61,165.55,3270,1062.36,1250.4,612.851,3467.5,306.9936111,102.55,534.58,1543.6,2021.74,1384.064637
6,1983,2234.1,552.0312,1056.72,993.8,2569.7,1713,1234.18,253.09,2489.26,3289,1073.2,2144.48,2594.37,847.5,3056.53,1498.2,1638.6,798.8,162.61,171.17,3795.1,1080.17,1285.3,629.756,3564.59,319.5677778,102.01,545.75,1583.2,2141.16,1407.97633
7,1984,2311.4,556.2,1101.82,1047,2637.49,1776,1285.32,259.17,2533.57,3346,1117.5,2201.31,2672.86,867.25,3158.81,1537.3,1680.7,827.8,169.77,174.31,3563.7,1116.69,1336.9,646.661,3643.11,332.1419444,104.62,558.75,1620.3,2248.91,1431.888022
8,1985,2420.6,566.5,1152.09,1081.4,2731.11,1830.5,1335.17,267.8,2555.43,3520,1133.1,2238.12,2728.71,930.2,3262.97,1584.8,1769.1,856.6,177.39,177.35,3561.1,1154.11,1375,663.566,3742.97,344.7161111,105.72,565.81,1672.3,2318.56,1432.03
9,1986,2495.9,572.7,1188.93,1098.9,2811.92,1895.8,1383.17,274.85,2626.41,3598,1196.2,2292.92,2808.87,987.95,3350.02,1622.6,1799.2,875.4,183.07,182.7,3651.2,1189.46,1409.2,680.471,3885.74,357.2902778,107.37,574.68,1731.4,2386.42,1469.13
10,1987,2563.3,580.2,1237.74,1139.7,2910.99,1961,1435.85,280.47,2725.75,3782,1248.4,2345.53,2904.1,1032.75,3429.69,1668.4,1835.4,891,190.86,189.2,3765.7,1223.04,1448.7,698.32,3967.27,366.7,107.77,584.91,1777.5,2444.73,1507.33
11,1988,2665.9,584.1,1281.07,1178.8,2994.72,2012,1501.32,292.15,2808.33,3916,1280.9,2400.12,2998.64,1106.22,3502.65,1723,1858.6,909.7,197.41,193.69,3887.1,1257.06,1494.1,712.59,4090.08,380.54,107.24,593.71,1826.9,2502.73,1512.49
12,1989,2723.9,593.9,1301.81,1214,3041.27,2046.3,1570.84,298.53,2857.92,3943,1324.2,2432.82,3091.37,1142.19,3519.83,1760.4,1874.8,910.3,203.52,197.83,3940.3,1281.69,1528.9,730.77,4217.57,394.79,107.56,599.55,1880.7,2522.86,1540.03
13,1990,2807.6,627.1,1496,1292.4,3118.1,2108.5,1651.75,304.32,2955.47,4086,1333.3,3040.4,3158.42,1169.41,4225.02,1816.5,1897.3,924.6,211.17,200.83,4043.2,1304.01,1576.3,750.22,4265.2,413.2,107.88,617.7,1922.7,2554.46,1569.34
14,1991,2877.1,634,1580,1302.4,3259.2,2170.8,1701.47,316.99,3040.3,4216,1358.6,3082.7,3222.43,1194.69,4272.97,1874.5,1938.3,962.9,219.2,241.25,4219.3,1332.15,1639.7,764.03,4425.1,420.52,109.73,638.49,1989.5,2579.36,1620.67
15,1992,2985.8,649.3,1631,1305.9,3367.21,2217.1,1739.03,322.5,3106.28,4332,1395,3118.6,3278.83,1235.02,4315.12,1870.4,1957.8,976,225.85,245.2103,4302.6,1363.78,1671.5,768.9,4521.2,435.53,110.92,646.94,2032.6,2600.38,1662.58
16,1993,3156.5,627.8,1671,1417.8,3433.91,2275,1779.01,333.33,3171.37,4400,1427.3,3157.6,3345.61,1237.67,4339.81,1903.7,2006.1,1008.2,229.38,249.2356,4379.3,1383.56,1707.6,769.79,4556.8,447.29,112.35,655.98,2071.5,2615.89,1658.95
17,1994,3119.5,664.3,1692,1438.81,3493.15,2336,1828.3,335.56,3210.37,4448,1472.7,3196.9,3400.29,1250.24,4362.76,2007.7,2009.3,1033.4,232.68,253.3269,4382.1,1403.76,1719.5,775.53,4587.9,455.98,114.34,657.54,2108.7,2640.51,1729.55
18,1995,3206.9,665.3,1705,1483.32,3551.2,2383,1812.2,334.49,3252.01,4509,1474.8,3232.5,3467.31,1270.77,4385.17,2100.5,2027.8,1029.4,240.6,257.4854,5207.4,1424.52,1748,782.99,4619.1,466.9,115.09,676,2149,2621.47,1709.26
19,1996,3257.7,660.2,1731,1521.46,3641.3,2417,1783.2,333.3,3300.16,4638,1481.1,3275.5,3514.16,1257.14,4386.97,2107.2,2031.8,1039,245.4,261.7122,5227.4,1478,1776,788.12,4627.2,470.93,117.7,671.6,2186.2,2625.06,1719.43
20,1997,3322.1,655.8,1749,1530.32,3701.9,2454,1796.7,343.07,3324.23,4820,1504,3311.2,3560.29,1237.73,4388.79,2120.6,1967.1,1050.3,260.5,266.0084,5256,1483.2,1792,792.13,4641.2,465.15,120.47,715.4,2223.5,2619.66,1715.4
21,1998,3379.3,622.2,1757,1539.8,3783.87,2499,1844.43,326.7,3367.18,5000,1552.1,3328.2,3603.17,1130.85,4389.92,2094.3,1958.8,1050.3,254.8,270.38,5287.6,1429,1788,784.96,4651.4,469.79,120.22,680.92,2240.5,2612.54,1710.97
22,1999,3398.6,618.6,1766,1489,3796.32,2514.9,1832.5,326.77,3322.3,5205,1557.9,3358.1,3601.39,1120,4390.71,2089,1994.4,1056.7,272.3,274.8135,5314.7,1434.3,1808,787.72,4654.3,470.07,123.91,669.6,2244,2625.17,1699.06
23,2000,3450.7,619.3,1794,1476.45,3989.32,2566,1866.28,335.17,3385.71,5572,1647.5,3384.9,3577.58,1164.02,4418.14,2060.9,2052,1061.6,275.5,279.3247,5386.7,1392.4,1813,798.13,4658.4,479.67,124.18,672.5,2295.4,2726.09,1661.16
24,2001,3463,628.9,1805,1488.93,4058.63,2578,2068.01,338.39,3409.16,5516.59,1700,3414.5,3607.96,1167.41,4436.4504,2054.8,2069.3,1067,279,283.91,5430.9,1412.9,1785,806.91,4664.8,485.7,126.33,685.38,2322.5,2796.65,1616.08
25,2002,3500.5,679.2,1840,1500.59,4134.37,2589,2106.14,349.89,3435,5522,1654.1,3443,3644.52,1186.6,4472.8358,2130.6,2025.3,1086.1,282.4,285.66,5510.2,1417.3,1874,853.11,4667.6,503.1,130.2,701.49,2341.3,2858.56,1551.77
26,2003,3544.9,703.3,1858,1510.85,4395.93,2601,2145,360.34,3470.23,5535.67,1600.7,3476,3694.78,1202.5,4499.9744,2168.2,2018.9,1005.2,291.4,287.72,5541,1469.5,1912,850.04,4683.5,513,132.81,721.27,2353.3,2918.74,1499.99
27,2004,3605.2,854.1,1886,1520.46,4681.89,2631.8,2186,367.74,3516.71,5587,1592.6,3507,3747.1,1222,4537.0701,2214,2097.3,1026.1,298.1,289.8,5622.4,1474.5779,1941,768,4691,489.7,137.32,744.49,2401.4,2991.95,1471.34
28,2005,3669.7,878,1923,1391.36,5022.97,2703,1944.29,379.55,3568.97,5662,1588.6,3537,3801.48,1238.9,4578.7498,2276.7,2120.3,1041.1,299.61,290.42,5689.2,1500.2,1976,764.3,4702,484.9,143.6,791.62,2461.3,3100.76,1456.3
29,2006,3741,919.7,1958,1401.36,5177.02,2760,1953.24,389.03,3609.99,5719,1623.3,3564,3842.17,1250.5,4628.9514,2321.1,2128.1,1051.2,308.1,291.04,5756.3,1561.16,1986,770.2,4715,491.6,148.2,811.75,2517.6,3172.38,1454.77
